"SRA_SampleID" "SRA_Accession" "Sample_ID" "Island" "Site" "Lat" "Long" "Host_ID" "Colony_Color" "FWD_Filename" "REV_Filename"
"CHPd100_BiPb70" "SRR11142616" "CHPd100" "Peros Banhos" "BiPb70" -5.32515 71.85739 "P. acuta" "bleached" "SRR11142616_pass_1.fastq.gz" "SRR11142616_pass_2.fastq.gz"
"CHPd109_BiSa88" "SRR11142609" "CHPd109" "Salomon" "BiSa88" -5.33932 72.23605 "P. acuta" "healthy" "SRR11142609_pass_1.fastq.gz" "SRR11142609_pass_2.fastq.gz"
"CHPd112_BiSa88" "SRR11142605" "CHPd112" "Salomon" "BiSa88" -5.33932 72.23605 "P. acuta" "bleached" "SRR11142605_pass_1.fastq.gz" "SRR11142605_pass_2.fastq.gz"
"CHPd116_BiSa91" "SRR11142601" "CHPd116" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "healthy" "SRR11142601_pass_1.fastq.gz" "SRR11142601_pass_2.fastq.gz"
"CHPd118_BiSa91" "SRR11142600" "CHPd118" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "healthy" "SRR11142600_pass_1.fastq.gz" "SRR11142600_pass_2.fastq.gz"
"CHPd119_BiSa91" "SRR11142599" "CHPd119" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "healthy" "SRR11142599_pass_1.fastq.gz" "SRR11142599_pass_2.fastq.gz"
"CHPd120_BiSa91" "SRR11142598" "CHPd120" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "healthy" "SRR11142598_pass_1.fastq.gz" "SRR11142598_pass_2.fastq.gz"
"CHPd121_BiSa91" "SRR11142597" "CHPd121" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "healthy" "SRR11142597_pass_1.fastq.gz" "SRR11142597_pass_2.fastq.gz"
"CHPd123_BiSa91" "SRR11142594" "CHPd123" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "bleached" "SRR11142594_pass_1.fastq.gz" "SRR11142594_pass_2.fastq.gz"
"CHPd124_BiSa91" "SRR11142593" "CHPd124" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "bleached" "SRR11142593_pass_1.fastq.gz" "SRR11142593_pass_2.fastq.gz"
"CHPd125_BiSa91" "SRR11142592" "CHPd125" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "bleached" "SRR11142592_pass_1.fastq.gz" "SRR11142592_pass_2.fastq.gz"
"CHPd126_BiSa91" "SRR11142591" "CHPd126" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "bleached" "SRR11142591_pass_1.fastq.gz" "SRR11142591_pass_2.fastq.gz"
"CHPd127_BiSa91" "SRR11142590" "CHPd127" "Salomon" "BiSa91" -5.33965 72.26332 "P. acuta" "bleached" "SRR11142590_pass_1.fastq.gz" "SRR11142590_pass_2.fastq.gz"
"CHPd128_BiSa94" "SRR11142589" "CHPd128" "Salomon" "BiSa94" -5.35038 72.22001 "P. acuta" "healthy" "SRR11142589_pass_1.fastq.gz" "SRR11142589_pass_2.fastq.gz"
"CHPd130_BiSa94" "SRR11142588" "CHPd130" "Salomon" "BiSa94" -5.35038 72.22001 "P. acuta" "healthy" "SRR11142588_pass_1.fastq.gz" "SRR11142588_pass_2.fastq.gz"
"CHPd131_BiSa94" "SRR11142587" "CHPd131" "Salomon" "BiSa94" -5.35038 72.22001 "P. acuta" "healthy" "SRR11142587_pass_1.fastq.gz" "SRR11142587_pass_2.fastq.gz"
"CHPd132_BiSa94" "SRR11142586" "CHPd132" "Salomon" "BiSa94" -5.35038 72.22001 "P. acuta" "healthy" "SRR11142586_pass_1.fastq.gz" "SRR11142586_pass_2.fastq.gz"
"CHPd133_BiSa94" "SRR11142681" "CHPd133" "Salomon" "BiSa94" -5.35038 72.22001 "P. acuta" "bleached" "SRR11142681_pass_1.fastq.gz" "SRR11142681_pass_2.fastq.gz"
"CHPd137_BiSa97" "SRR11142568" "CHPd137" "Salomon" "BiSa97" -5.31676 72.23729 "P. acuta" "healthy" "SRR11142568_pass_1.fastq.gz" "SRR11142568_pass_2.fastq.gz"
"CHPd138_BiSa97" "SRR11142566" "CHPd138" "Salomon" "BiSa97" -5.31676 72.23729 "P. acuta" "bleached" "SRR11142566_pass_1.fastq.gz" "SRR11142566_pass_2.fastq.gz"
"CHPd139_BiSa97" "SRR11142565" "CHPd139" "Salomon" "BiSa97" -5.31676 72.23729 "P. acuta" "bleached" "SRR11142565_pass_1.fastq.gz" "SRR11142565_pass_2.fastq.gz"
"CHPd146_BiSa105" "SRR11142562" "CHPd146" "Salomon" "BiSa105" -5.33426 72.24311 "P. acuta" "bleached" "SRR11142562_pass_1.fastq.gz" "SRR11142562_pass_2.fastq.gz"
"CHPd148_BiSa105" "SRR11142560" "CHPd148" "Salomon" "BiSa105" -5.33426 72.24311 "P. acuta" "healthy" "SRR11142560_pass_1.fastq.gz" "SRR11142560_pass_2.fastq.gz"
"CHPd149_BiSa105" "SRR11142559" "CHPd149" "Salomon" "BiSa105" -5.33426 72.24311 "P. acuta" "bleached" "SRR11142559_pass_1.fastq.gz" "SRR11142559_pass_2.fastq.gz"
"CHPd165_BiPb69c" "SRR11142558" "CHPd165" "Peros Banhos" "BiPb69c" -5.29669 71.76605 "P. acuta" "bleached" "SRR11142558_pass_1.fastq.gz" "SRR11142558_pass_2.fastq.gz"
"Blank_1_Blank" "SRR11142557" "Blank_1" "Blank" "Blank" "Blank" "Blank" "Blank" "Blank" "SRR11142557_pass_1.fastq.gz" "SRR11142557_pass_2.fastq.gz"
"Blank_2_Blank" "SRR11142555" "Blank_2" "Blank" "Blank" "Blank" "Blank" "Blank" "Blank" "SRR11142555_pass_1.fastq.gz" "SRR11142555_pass_2.fastq.gz"
"Blank_3_Blank" "SRR11142554" "Blank_3" "Blank" "Blank" "Blank" "Blank" "Blank" "Blank" "SRR11142554_pass_1.fastq.gz" "SRR11142554_pass_2.fastq.gz"
